"PlantID","Time"
"2218DP100","T0"
"2218DP234","TR2"
"2218DP286","TR2"
"2218DP103","TR3"
"2218DP093","TR3"
"2226DP070","C0"
"2226DP052","C0"
"2226DP025","C0"
"2226DP103","CO1"
"2226DP088","CO1"
"2226DP215","CO1"
"2218DP148","TH1"
"2226DP092","CO2"
"2226DP059","CO2"
"2218DP112","TH1"
"2226DP005","CO2"
"2226DP137","CO3"
"2226DP069","CO3"
"2226DP360","CO3"
"2226DP082","CO4"
"2226DP046","CO4"
"2226DP183","CO5"
"2226DP033","CO5"
"2226DP212","CO5"
"2226DP176","CO6"
"2226DP072","CO6"
"2218DP084","T0"
"2218DP263","TH1"
"2226DP185","CR1"
"2226DP172","CR1"
"2226DP051","CR1"
"2226DP170","CR2"
"2226DP307","CR2"
"2218DP114","TH2"
"2218DP088","TH2"
"2218DP026","T0"
"2218DP002","TH2"
"2218DP190","TH3"
"2218DP198","TH3"
"2218DP109","TH4"
"2218DP281","TH4"
"2218DP282","TH4"
"2218DP217","TH5"
"2218DP202","TH5"
"2218DP102","TH6"
"2218DP312","TH6"
"2218DP086","TR1"
"2218DP073","TR1"
"2218DP152","TR2"
