"","CTR-DS1","CTR-DS2","CTR-DS3","DR-DS1","DR-DS2","DR-DS3"
"Fumarate",-5.54410769236331,-5.3718629553617,-5.32596150284117,-3.84245173441316,-4.11266600828255,-4.15633069980145
"U2279.8.290",-10.6109971170652,-10.0427618734747,-10.2991194873086,-8.949211424756,-9.19983812108039,-9.02288786057253
"U1462.7.232",-8.60981112591291,-8.683762738958,-8.67965738934401,-9.55117291978031,-9.40588263395636,-9.77816108132301
"a.Aminoadipate",-7.36142851548829,-7.27667602088306,-7.23161337194659,-5.59366263745225,-5.99223621191634,-6.4015609338494
"Methionine",-8.23348229834972,-8.2487877238251,-7.07831262029603,-5.91256874301753,-5.75624786742748,-6.13057192595845
"Erythronate",-8.88763839009435,-8.74001112686605,-8.47538508054225,-7.55559953400831,-7.85356584436208,-7.81883481017881
"Maltose",-6.79613569671771,-6.80940533415777,-6.320394660394,-5.73181671099897,-5.77428725923197,-5.6879790913115
"Malate",0.326108407908894,0.302773453003368,0.623364545400136,1.09462913444498,1.1787852739904,1.06356595429865
"Mannitol",-5.10569046515137,-4.63934667541313,-3.31356573559773,-6.53775367518884,-5.94871206853325,-6.98310307711548
"Glycerate",-7.27107230772799,-6.85124124348548,-6.22433516621269,-5.22216075542258,-5.64014762360937,-5.70382675405028
"gamma.Tocopherol",-4.32896091652316,-4.90885028737829,-4.90695544104929,-5.96631867689775,-5.52283046394196,-5.51656488379546
"Sorbitol",-2.94329940415123,-3.01322802321787,-1.76555536095672,-3.94225023541398,-4.15137564282199,-3.867531197965
"myo.Inositol",-0.320710770361099,-0.590222276067173,-0.692112662748563,-1.30151972620757,-1.20024091808229,-1.09728631219363
"Galactonate",-4.42813360291641,-4.21730606619673,-3.60212999155997,-4.91169366177412,-5.05330613415585,-5.26256833606443
"Galactitol",-8.63695352741762,-9.26904704218161,-7.75637989240668,-11.0367094567522,-9.64323280074622,-10.9650948086089
"Isoleucine",-4.55022964283842,-4.05090001183438,-4.36875304588095,-3.50915965441089,-3.69499154017494,-3.69639606257917
"Citrate",1.8706854382723,1.60170750582652,1.79716510867043,1.13242160088597,1.30771627372097,1.01205704004523
"Inositol.P.glycerol",-11.2278184025594,-11.2658085168551,-11.1810142049096,-9.45403118499995,-10.5964395269429,-10.2930567587975
"Erythritol",-6.89932493656608,-4.97312304635812,-5.38799559609414,-7.58594398504606,-7.83453725384171,-7.25864154575079
"X2.4.dihydroxybutanoate",-9.81422384408414,-9.58084535831756,-9.86542368774938,-8.12556126497835,-9.04734334350727,-9.01842309898101
"Malonate",-5.65948504581593,-5.41401875539317,-5.05719305060362,-4.6291245818559,-4.75328681569023,-4.63998052976651
"Tryptophan",0.20806446130155,-1.09444819995953,0.00993521808885589,-1.77917579004771,-2.0285826865695,-1.2386594943894
"Arabitol",-4.84446243635356,-3.85654440049143,-2.42170375091367,-5.7046034512097,-5.48525992834996,-6.66620376172496
"Gluconate",-1.62736418178952,-1.69050098783013,-0.923670568064974,-2.11908516811328,-2.30169562060195,-2.0760494370642
"Alanine",-1.35691627085858,-1.47390576689611,-1.02576800589288,-1.70169845391451,-1.84537444621627,-1.92535869740623
"Threonate",-6.62257524741898,-6.63849693253629,-6.99998348670993,-6.05466076620638,-5.95000255185653,-6.46429831953228
"Homoserine",-7.09837057841814,-4.94705051984483,-5.02050917160155,-4.06906991922136,-4.16103280771148,-3.87651314823716
"Campesterol",-1.55150947760972,-1.87801792709083,-1.85920756771256,-2.32786072213954,-2.2499016449143,-2.12910920745472
"U2067.8.259",-5.38630870678182,-6.59086107045255,-7.01799017981448,-4.76152473202722,-5.3061465895607,-5.24611303067705
"alphaaminobutyrate",-9.8020666910252,-9.51456467928146,-9.91947067474044,-9.18155381307849,-9.38743630110565,-9.19074714962309
"U2548.5.204",-8.32633216432235,-8.81682588167213,-8.36726784820965,-9.28643552455491,-8.77947410759418,-9.39112109962829
"Glutamate",1.51635870248127,1.58464246123198,1.76101265533252,1.13944844010722,1.34353551651516,1.2234472228217
"Proline",0.336913804561085,1.15897956174458,1.05347235839233,0.199189029146861,0.202574990864967,0.309975439343923
"U2473.7.259",-8.82439647867766,-8.339433644242,-8.76004543299526,-8.33501775325261,-8.15661321754839,-7.91253202633573
"Sucrose.6.P",-3.54124416730036,-4.20512860220181,-3.8569203794619,-4.76703386121116,-4.17310011334401,-4.46694902369228
"U3471.6.361",-8.90177352831245,-8.62630582167097,-9.19297245900574,-10.6260734689727,-8.94889873134638,-10.7783549459833
"Glycine",-2.95785236397381,-3.05151666077811,-3.13394099826679,-3.36602584760224,-3.44100055856521,-3.37091652595189
