"","2226DP070","2226DP052","2226DP025","2226DP103","2226DP088","2226DP215","2226DP092","2226DP059","2226DP005","2226DP137","2226DP069","2226DP360","2226DP082","2226DP046","2226DP183","2226DP033","2226DP212","2226DP176","2226DP072","2226DP185","2226DP172","2226DP051","2226DP170","2226DP307","2218DP100","2218DP234","2218DP286","2218DP103","2218DP148","2218DP112","2218DP263","2218DP114","2218DP026","2218DP002","2218DP190","2218DP198","2218DP109","2218DP281","2218DP282","2218DP217","2218DP202","2218DP102","2218DP312","2218DP152"
"cluster_1",4.91102223869314,5.32366133101513,4.21152652485855,2.45184735627908,4.93781005865485,5.56015215082368,0.360033003476413,1.6458922142836,1.31620185606611,-0.187877808183581,0.30448410214891,-0.403821674083746,-6.82165727553877,-4.18741276835581,-6.30031624171819,-7.9240608154418,-5.00809964680786,-7.95708852154677,-10.2153746982807,-10.2726586825962,-8.60558909220002,-12.5764476678844,-9.38610326004543,-10.121645034708,7.71821855473029,2.65726300928272,2.96689733546933,-4.7218678983087,4.04948038636096,5.8335595755846,6.32193119550223,5.98238124479201,8.14939545774612,4.96012321923145,3.33143430308303,3.68722486638866,1.46504042517506,3.81307930854022,2.51668518071062,4.48979369070937,3.40252480905369,2.58565487801635,2.29893875711143,-2.56223594808756
"cluster_2",-4.25912216785594,-5.18187389974627,-4.54950375481583,-2.92873038399704,-4.85764890690763,-4.34685840573704,-3.35687792082911,-3.8826670008319,-3.14367975116695,-2.51210804753363,-3.84507979474921,-4.97565422569317,0.333703745137474,-2.66654258578502,-0.528904785421707,0.541908423618117,0.495135954481924,3.50058604057558,2.77906340990091,3.90541363719545,4.16127609008743,3.72986228886471,4.27000318062354,4.83402723106185,-1.3688276556847,1.36020191749086,3.00003987796986,1.77602111759724,-5.88017823827209,-6.14406077961778,-1.63887576564404,0.587452315610268,-1.7642921435964,-0.895665765110608,2.82368249970155,1.73706947944365,2.74056069538585,2.87022119059001,1.91948442997826,3.86310142673273,5.48730153112101,3.66837231873129,5.42236650639147,2.92029667070504
"cluster_3",3.1535547208666,3.42005925607513,2.94711222882914,2.58359932174622,2.58783003561881,3.64022106501529,0.629517782423747,1.83339253728069,0.81258305787494,0.316252926998211,0.496085546040455,0.950922319060939,-1.12396503631782,-0.973190054480928,-1.05564368685988,-4.20953533596684,-0.467588509944658,-0.912688916315075,-3.62134658869256,-2.44574928805366,-2.59582893134692,-4.37535901792751,-3.97684528122388,-4.65634998320248,3.66876520746296,-1.82100140504994,-1.18315016518063,-6.78480958349143,2.5751714272987,3.29158846640745,3.50504762473568,2.77044879152547,4.81294708708827,3.19778443642494,0.372767156226104,1.04097759130867,-1.29900678625054,0.214557028162309,-0.553085704365004,0.414068676071847,-0.579469201677805,-0.275776963722608,-1.5274322463836,-4.79743160408879
"cluster_4",-1.89110320476984,-2.19223996624286,0.10565193896089,-3.12815700947269,2.77533081832227,0.863905551372119,0.640444559961664,-1.20073126830974,1.91813714748902,1.16587841105447,1.95644085894559,0.430547216934296,1.87936120447452,-1.70850377147745,0.162326815668542,-1.80885610423959,1.3505902585381,2.84445848763423,1.96711387252988,2.76005096876983,2.23926007140499,3.39453782176524,1.6136485325361,1.63716942807485,-0.485343298480357,-0.462239120682187,-0.247143291046849,-1.23249281097963,0.711052072334588,1.05944208531479,-1.16759746991578,-3.98933176953051,0.886312917295938,-0.329629116153431,-1.86799909814004,-3.09610355583779,-0.626183757582917,-0.942928749715162,-1.76737148106381,-1.87991185758287,-0.585651617543517,-1.20450671553367,0.0556488273260916,-0.603284832407217
"cluster_5",1.29349697999164,1.71674794242284,1.48565273888303,-0.163414916671633,1.64728705605732,-0.18391531403306,1.22061135438054,0.150383963725633,1.00209414904698,-0.217147346327117,0.88974852999911,-0.640595276487455,-1.52614032931154,-0.0402310841673404,-1.55700948016514,-0.850836646985969,-1.93146823727686,-2.15560490245281,-2.37347647316194,-4.6794387931404,-4.27153421841404,-1.55670096046419,-5.32792798126053,-5.51577830619344,0.357821599804468,0.480175847542236,-1.43523146192544,-0.509603482097785,-0.174779333298991,0.366441696314193,-0.352026274528505,2.5035011989818,0.804490222875979,2.79094693414479,2.49985277685484,2.30177566670918,2.14085073346366,2.17823644783876,2.48210785967727,1.62922856111159,0.954926985695369,2.42657202408024,2.1957677459064,-0.055858197143676
"cluster_6",-1.12783021842846,1.71869216002437,1.67084234748387,0.508177869446763,-0.0899135725147882,-1.41136568651157,-0.442754250469678,1.1207860434284,-0.201354007621663,-0.0257776258054063,-1.38817310973778,-0.732675036715559,-1.49987760438049,0.0898321274500796,-2.02654187024663,1.05474533499166,-2.79647025130817,-2.81582861887554,-0.398622251096022,-3.63252031406577,-2.82350646327947,-1.06831023755085,-2.04290451870947,-1.72954846015624,0.815212102376376,1.62155098351042,1.06665588067154,0.990229798468641,-1.65899832597547,-0.389196238069319,-0.796710221743943,2.62454949731838,-1.58005498721987,1.47335352268611,1.88072075922957,2.65879542697555,0.946854139143634,1.90901071921849,2.31154479311434,1.40238686850241,0.141761905090969,1.95684821686602,1.81315037062283,0.903233003861748
"cluster_7",-1.36376550618136,-0.590721039482738,-1.67415861474871,-1.93745900152621,-0.92519507398761,0.0204154496286994,0.562648864482578,-0.89003771415853,-0.19399665387765,0.305627872262879,0.14136420980275,0.961349541822773,1.71765110351202,0.664709886537975,0.785240730649894,0.0953651731026159,0.268409289297341,-0.206254193420184,-0.206505667699996,1.46706439202682,0.230014799923212,0.215707654546427,0.456913286741851,0.134298566229103,-1.81968558028526,6.38588277938938,7.84458284620623,1.91314928281691,1.59198828196093,1.63729455857123,-1.45555726035653,-4.6648660808183,-0.732501341197838,-3.12332617321163,-3.11775683852223,-2.85503584652785,-1.86267783091311,-0.974200522646999,-3.69561367668082,0.834155434430742,1.58698800975931,-0.678712015807987,1.26169733825001,1.8855072800999
"cluster_8",2.86264153605918,0.681954170756819,2.80159439216832,6.35675362458189,3.26606682487669,4.56825786191321,0.16972398974759,1.20853890568449,2.32734780812192,1.63810593496635,0.78824419655892,2.54797969835018,1.94035249993508,1.68162677958446,2.81802323260414,1.80252444132191,2.90332416771462,5.29271156386832,2.11102559991403,6.34489426380838,1.1305541193897,1.96996447154614,2.79416315961258,1.5550359557693,4.36158398166313,-7.86156598420207,-10.7185817437925,-4.60855874389025,1.88514623826205,0.532331661767862,3.77335636932302,2.75614549321641,3.41539799314572,1.26101256496492,-3.20030456100379,-2.03372166428775,-7.67237752215118,-7.34004769802259,-3.79040836094525,-6.01490649738322,-8.46117396361685,-6.20801374431457,-6.70436235532193,-4.93236066226611
"cluster_9",-0.605549988767056,-0.156294522835476,-0.492917300040135,-2.11202248662493,-0.359485145390798,-0.367787846984317,1.50706282951315,0.00478503683752516,-0.600392332832319,0.775677842372214,0.889287601596934,0.684589876195625,1.042057950914,0.767720662059703,0.271022210816399,0.422063533119871,0.566513592091667,-0.941870268981871,-1.0947926694778,-1.02360994368062,-1.95891686052321,-0.464980976568978,-1.97441379789953,-1.140831252319,-3.47065992065715,6.09704441112751,6.84093230323809,2.06223613149915,-0.325388241194063,-0.232331183986755,-1.57878584004246,-5.34974652263267,-4.34943049392086,-3.19496102602918,-0.312863846075364,-0.586548233377181,-0.56661293423129,0.167145583760672,-1.33285198731481,2.56908913198807,3.38215058330509,-0.0450459534518862,3.12290230689322,3.46680998851081
"cluster_10",0.0644429262274829,0.0657925163055454,0.0595562588358254,0.0631475910269305,0.061599855952741,0.0622097555166295,0.0532473331116914,0.0512913086300374,0.0468894425908924,0.0328103671393189,0.0376238641148478,0.0395168887243999,0.0198834978075303,0.0292922391943104,0.0217411256303791,0.028821950950365,0.0204331229501775,0.0129150777125993,0.0155717107984624,0.0108144325424777,0.0123079046173939,0.0147147196889451,0.0110522168991725,0.0127967114199176,0.0997331001139616,0.0637886833216201,0.0644429262274829,0.0337805661676321,0.0571198664289053,0.0647751062595833,0.0891231958465189,0.144441041544358,0.0866646249266149,0.0815998091841504,0.0743572225701726,0.0713998330361316,0.0525789565454358,0.07306029426953,0.0654498469497873,0.0910606566257911,0.0891231958465189,0.0780519913935352,0.0854855143833957,0.0398932400455846
